CODIGO_IBGE;MUNICIPIO;REGIONAL
3500105;Adamantina;ER Presidente Prudente
3500204;Adolfo;ER Sao Jose do Rio Preto
3500303;Aguaí;ER Campinas
3500402;Águas da Prata;ER Campinas
3500501;Águas de Lindóia;ER Campinas
3500550;Águas de Santa Bárbara;ER Sorocaba
3500600;Águas de São Pedro;ER Campinas
3500709;Agudos;ER Bauru
3500758;Alambari;ER Sorocaba
3500808;Alfredo Marcondes;ER Presidente Prudente
3500907;Altair;ER Barretos
3501004;Altinópolis;ER Ribeirao Preto
3501103;Alto Alegre;ER Aracatuba
3501152;Alumínio;ER Sorocaba
3501202;Álvares Florence;ER Sao Jose do Rio Preto
3501301;Álvares Machado;ER Presidente Prudente
3501400;Álvaro de Carvalho;ER Marilia
3501509;Alvinlândia;ER Marilia
3501608;Americana;ER Campinas
3501707;Américo Brasiliense;ER Araraquara
3501806;Américo de Campos;ER Sao Jose do Rio Preto
3501905;Amparo;ER Campinas
3502002;Analândia;ER Campinas
3502101;Andradina;ER Aracatuba
3502200;Angatuba;ER Itapeva
3502309;Anhembi;ER Sorocaba
3502408;Anhumas;ER Presidente Prudente
3502507;Aparecida;ER Sao Jose dos Campos
3502606;Aparecida D'Oeste;ER Sao Jose do Rio Preto
3502705;Apiaí;ER Itapeva
3502754;Araçariguama;ER Sorocaba
3502804;Araçatuba;ER Aracatuba
3502903;Araçoiaba da Serra;ER Sorocaba
3503000;Aramina;ER Franca
3503109;Arandu;ER Itapeva
3503158;Arapeí;ER Sao Jose dos Campos
3503208;Araraquara;ER Araraquara
3503307;Araras;ER Campinas
3503356;Arco Íris;ER Marilia
3503406;Arealva;ER Bauru
3503505;Areias;ER Sao Jose dos Campos
3503604;Areiópolis;ER Sorocaba
3503703;Ariranha;ER Sao Jose do Rio Preto
3503802;Artur Nogueira;ER Campinas
3503901;Arujá;ER Sao Paulo
3503950;Aspásia;ER Sao Jose do Rio Preto
3504008;Assis;ER Marilia
3504107;Atibaia;ER Campinas
3504206;Auriflama;ER Aracatuba
3504305;Avaí;ER Bauru
3504404;Avanhandava;ER Aracatuba
3504503;Avaré;ER Sorocaba
3504602;Bady Bassitt;ER Sao Jose do Rio Preto
3504701;Balbinos;ER Bauru
3504800;Bálsamo;ER Sao Jose do Rio Preto
3504909;Bananal;ER Sao Jose dos Campos
3505005;Barão de Antonina;ER Itapeva
3505104;Barbosa;ER Aracatuba
3505203;Bariri;ER Bauru
3505302;Barra Bonita;ER Bauru
3505351;Barra do Chapéu;ER Itapeva
3505401;Barra do Turvo;ER Vale do Ribeira
3505500;Barretos;ER Barretos
3505609;Barrinha;ER Ribeirao Preto
3505708;Barueri;ER Sao Paulo
3505807;Bastos;ER Marilia
3505906;Batatais;ER Franca
3506003;Bauru;ER Bauru
3506102;Bebedouro;ER Barretos
3506201;Bento de Abreu;ER Aracatuba
3506300;Bernardino de Campos;ER Marilia
3506359;Bertioga;ER Baixada Santista
3506409;Bilac;ER Aracatuba
3506508;Birigui;ER Aracatuba
3506607;Biritiba Mirim;ER Sao Paulo
3506706;Boa Esperança do Sul;ER Araraquara
3506805;Bocaina;ER Bauru
3506904;Bofete;ER Sorocaba
3507001;Boituva;ER Sorocaba
3507100;Bom Jesus dos Perdões;ER Campinas
3507159;Bom Sucesso de Itararé;ER Itapeva
3507209;Borá;ER Marilia
3507308;Boracéia;ER Bauru
3507407;Borborema;ER Araraquara
3507456;Borebi;ER Bauru
3507506;Botucatu;ER Sorocaba
3507605;Bragança Paulista;ER Campinas
3507704;Braúna;ER Aracatuba
3507753;Brejo Alegre;ER Aracatuba
3507803;Brodowski;ER Ribeirao Preto
3507902;Brotas;ER Campinas
3508009;Buri;ER Itapeva
3508108;Buritama;ER Aracatuba
3508207;Buritizal;ER Franca
3508306;Cabrália Paulista;ER Bauru
3508405;Cabreúva;ER Campinas
3508504;Caçapava;ER Sao Jose dos Campos
3508603;Cachoeira Paulista;ER Sao Jose dos Campos
3508702;Caconde;ER Campinas
3508801;Cafelândia;ER Bauru
3508900;Caiabu;ER Presidente Prudente
3509007;Caieiras;ER Sao Paulo
3509106;Caiuá;ER Presidente Prudente
3509205;Cajamar;ER Sao Paulo
3509254;Cajati;ER Vale do Ribeira
3509304;Cajobi;ER Barretos
3509403;Cajuru;ER Ribeirao Preto
3509452;Campina do Monte Alegre;ER Itapeva
3509502;Campinas;ER Campinas
3509601;Campo Limpo Paulista;ER Campinas
3509700;Campos do Jordão;ER Sao Jose dos Campos
3509809;Campos Novos Paulista;ER Marilia
3509908;Cananéia;ER Vale do Ribeira
3509957;Canas;ER Sao Jose dos Campos
3510005;Cândido Mota;ER Marilia
3510104;Cândido Rodrigues;ER Araraquara
3510153;Canitar;ER Marilia
3510203;Capão Bonito;ER Itapeva
3510302;Capela do Alto;ER Sorocaba
3510401;Capivari;ER Campinas
3510500;Caraguatatuba;ER Sao Jose dos Campos
3510609;Carapicuiba;ER Sao Paulo
3510708;Cardoso;ER Sao Jose do Rio Preto
3510807;Casa Branca;ER Campinas
3510906;Cássia dos Coqueiros;ER Ribeirao Preto
3511003;Castilho;ER Aracatuba
3511102;Catanduva;ER Sao Jose do Rio Preto
3511201;Catiguá;ER Sao Jose do Rio Preto
3511300;Cedral;ER Sao Jose do Rio Preto
3511409;Cerqueira Cesar;ER Sorocaba
3511508;Cerquilho;ER Sorocaba
3511607;Cesário Lange;ER Sorocaba
3511706;Charqueada;ER Campinas
3511904;Clementina;ER Aracatuba
3512001;Colina;ER Barretos
3512100;Colômbia;ER Barretos
3512209;Conchal;ER Campinas
3512308;Conchas;ER Sorocaba
3512407;Cordeirópolis;ER Campinas
3512506;Coroados;ER Aracatuba
3512605;Coronel Macedo;ER Itapeva
3512704;Corumbataí;ER Campinas
3512803;Cosmópolis;ER Campinas
3512902;Cosmorama;ER Sao Jose do Rio Preto
3513009;Cotia;ER Sao Paulo
3513108;Cravinhos;ER Ribeirao Preto
3513207;Cristais Paulista;ER Franca
3513306;Cruz�lia;ER Marilia
3513405;Cruzeiro;ER Sao Jose dos Campos
3513504;Cubat�o;ER Baixada Santista
3513603;Cunha;ER Sao Jose dos Campos
3513702;Descalvado;ER Araraquara
3513801;Diadema;ER Sao Paulo
3513850;Dirce Reis;ER Sao Jose do Rio Preto
3513900;Divinol�ndia;ER Campinas
3514007;Dobrada;ER Araraquara
3514106;Dois C�rregos;ER Bauru
3514205;Dolcin�polis;ER Sao Jose do Rio Preto
3514304;Dourado;ER Araraquara
3514403;Dracena;ER Presidente Prudente
3514502;Duartina;ER Bauru
3514601;Dumont;ER Ribeirao Preto
3514700;Echapor�;ER Marilia
3514809;Eldorado;ER Vale do Ribeira
3514908;Elias Fausto;ER Campinas
3514924;Elisi�rio;ER Sao Jose do Rio Preto
3514957;Emba�ba;ER Barretos
3515004;Embu das Artes;ER Sao Paulo
3515103;Embu Gua�u;ER Sao Paulo
3515129;Emilian�polis;ER Presidente Prudente
3515152;Engenheiro Coelho;ER Campinas
3515186;Esp�rito Santo do Pinhal;ER Campinas
3515194;Esp�rito Santo do Turvo;ER Marilia
3515202;Estrela D'Oeste;ER Sao Jose do Rio Preto
3515301;Estrela do Norte;ER Presidente Prudente
3515350;Euclides da Cunha Paulista;ER Presidente Prudente
3515400;Fartura;ER Itapeva
3515509;Fernand�polis;ER Sao Jose do Rio Preto
3515608;Fernando Prestes;ER Araraquara
3515657;Fern�o;ER Marilia
3515707;Ferraz de Vasconcelos;ER Sao Paulo
3515806;Flora Rica;ER Presidente Prudente
3515905;Floreal;ER Sao Jose do Rio Preto
3516002;Fl�rida Paulista;ER Presidente Prudente
3516101;Flor�nea;ER Marilia
3516200;Franca;ER Franca
3516309;Francisco Morato;ER Sao Paulo
3516408;Franco da Rocha;ER Sao Paulo
3516507;Gabriel Monteiro;ER Aracatuba
3516606;G�lia;ER Marilia
3516705;Gar�a;ER Marilia
3516804;Gastão Vidigal;ER Aracatuba
3516853;Gavi�o Peixoto;ER Araraquara
3516903;General Salgado;ER Aracatuba
3517000;Getulina;ER Bauru
3517109;Glicério;ER Aracatuba
3517208;Guai�ara;ER Bauru
3517307;Guaimb�;ER Bauru
3517406;Gua�ra;ER Barretos
3517505;Guapia�u;ER Sao Jose do Rio Preto
3517604;Guapiara;ER Itapeva
3517703;Guar�;ER Franca
3517802;Guaraçaí;ER Aracatuba
3517901;Guaraci;ER Barretos
3518008;Guarani D'Oeste;ER Sao Jose do Rio Preto
3518107;Guarant�;ER Bauru
3518206;Guararapes;ER Aracatuba
3518305;Guararema;ER Sao Paulo
3518404;Guaratinguet�;ER Sao Jose dos Campos
3518503;Guare�;ER Sorocaba
3518602;Guariba;ER Ribeirao Preto
3518701;Guaruj�;ER Baixada Santista
