CODIGO_IBGE;MUNICIPIO;REGIONAL;mun_s_acento
3500105;Adamantina;ER Presidente Prudente;Adamantina
3500204;Adolfo;ER Sao Jose do Rio Preto;Adolfo
3500303;Aguaأ­;ER Campinas;Aguai
3500402;أپguas da Prata;ER Campinas;Aguas da Prata
3500501;أپguas de Lindأ³ia;ER Campinas;Aguas de Lindoia
3500550;أپguas de Santa Bأ،rbara;ER Sorocaba;Aguas de Santa Barbara
3500600;أپguas de Sأ£o Pedro;ER Campinas;Aguas de Sao Pedro
3500709;Agudos;ER Bauru;Agudos
3500758;Alambari;ER Sorocaba;Alambari
3500808;Alfredo Marcondes;ER Presidente Prudente;Alfredo Marcondes
3500907;Altair;ER Barretos;Altair
3501004;Altinأ³polis;ER Ribeirao Preto;Altinopolis
3501103;Alto Alegre;ER Aracatuba;Alto Alegre
3501152;Alumأ­nio;ER Sorocaba;Aluminio
3501202;أپlvares Florence;ER Sao Jose do Rio Preto;Alvares Florence
3501301;أپlvares Machado;ER Presidente Prudente;Alvares Machado
3501400;أپlvaro de Carvalho;ER Marilia;Alvaro de Carvalho
3501509;Alvinlأ¢ndia;ER Marilia;Alvinlandia
3501608;Americana;ER Campinas;Americana
3501707;Amأ©rico Brasiliense;ER Araraquara;Americo Brasiliense
3501806;Amأ©rico de Campos;ER Sao Jose do Rio Preto;Americo de Campos
3501905;Amparo;ER Campinas;Amparo
3502002;Analأ¢ndia;ER Campinas;Analandia
3502101;Andradina;ER Aracatuba;Andradina
3502200;Angatuba;ER Itapeva;Angatuba
3502309;Anhembi;ER Sorocaba;Anhembi
3502408;Anhumas;ER Presidente Prudente;Anhumas
3502507;Aparecida;ER Sao Jose dos Campos;Aparecida
3502606;Aparecida D'Oeste;ER Sao Jose do Rio Preto;Aparecida D'Oeste
3502705;Apiaأ­;ER Itapeva;Apiai
3502754;Araأ§ariguama;ER Sorocaba;Aracariguama
3502804;Araأ§atuba;ER Aracatuba;Aracatuba
3502903;Araأ§oiaba da Serra;ER Sorocaba;Aracoiaba da Serra
3503000;Aramina;ER Franca;Aramina
3503109;Arandu;ER Itapeva;Arandu
3503158;Arapeأ­;ER Sao Jose dos Campos;Arapei
3503208;Araraquara;ER Araraquara;Araraquara
3503307;Araras;ER Campinas;Araras
3503356;Arco أچris;ER Marilia;Arco Iris
3503406;Arealva;ER Bauru;Arealva
3503505;Areias;ER Sao Jose dos Campos;Areias
3503604;Areiأ³polis;ER Sorocaba;Areiopolis
3503703;Ariranha;ER Sao Jose do Rio Preto;Ariranha
3503802;Artur Nogueira;ER Campinas;Artur Nogueira
3503901;Arujأ،;ER Sao Paulo;Aruja
3503950;Aspأ،sia;ER Sao Jose do Rio Preto;Aspasia
3504008;Assis;ER Marilia;Assis
3504107;Atibaia;ER Campinas;Atibaia
3504206;Auriflama;ER Aracatuba;Auriflama
3504305;Avaأ­;ER Bauru;Avai
3504404;Avanhandava;ER Aracatuba;Avanhandava
3504503;Avarأ©;ER Sorocaba;Avare
3504602;Bady Bassitt;ER Sao Jose do Rio Preto;Bady Bassitt
3504701;Balbinos;ER Bauru;Balbinos
3504800;Bأ،lsamo;ER Sao Jose do Rio Preto;Balsamo
3504909;Bananal;ER Sao Jose dos Campos;Bananal
3505005;Barأ£o de Antonina;ER Itapeva;Barao de Antonina
3505104;Barbosa;ER Aracatuba;Barbosa
3505203;Bariri;ER Bauru;Bariri
3505302;Barra Bonita;ER Bauru;Barra Bonita
3505351;Barra do Chapأ©u;ER Itapeva;Barra do Chapeu
3505401;Barra do Turvo;ER Vale do Ribeira;Barra do Turvo
3505500;Barretos;ER Barretos;Barretos
3505609;Barrinha;ER Ribeirao Preto;Barrinha
3505708;Barueri;ER Sao Paulo;Barueri
3505807;Bastos;ER Marilia;Bastos
3505906;Batatais;ER Franca;Batatais
3506003;Bauru;ER Bauru;Bauru
3506102;Bebedouro;ER Barretos;Bebedouro
3506201;Bento de Abreu;ER Aracatuba;Bento de Abreu
3506300;Bernardino de Campos;ER Marilia;Bernardino de Campos
3506359;Bertioga;ER Baixada Santista;Bertioga
3506409;Bilac;ER Aracatuba;Bilac
3506508;Birigui;ER Aracatuba;Birigui
3506607;Biritiba Mirim;ER Sao Paulo;Biritiba Mirim
3506706;Boa Esperanأ§a do Sul;ER Araraquara;Boa Esperanca do Sul
3506805;Bocaina;ER Bauru;Bocaina
3506904;Bofete;ER Sorocaba;Bofete
3507001;Boituva;ER Sorocaba;Boituva
3507100;Bom Jesus dos Perdأµes;ER Campinas;Bom Jesus dos Perdoes
3507159;Bom Sucesso de Itararأ©;ER Itapeva;Bom Sucesso de Itarare
3507209;Borأ،;ER Marilia;Bora
3507308;Boracأ©ia;ER Bauru;Boraceia
3507407;Borborema;ER Araraquara;Borborema
3507456;Borebi;ER Bauru;Borebi
3507506;Botucatu;ER Sorocaba;Botucatu
3507605;Braganأ§a Paulista;ER Campinas;Braganca Paulista
3507704;Braأ؛na;ER Aracatuba;Brauna
3507753;Brejo Alegre;ER Aracatuba;Brejo Alegre
3507803;Brodowski;ER Ribeirao Preto;Brodowski
3507902;Brotas;ER Campinas;Brotas
3508009;Buri;ER Itapeva;Buri
3508108;Buritama;ER Aracatuba;Buritama
3508207;Buritizal;ER Franca;Buritizal
3508306;Cabrأ،lia Paulista;ER Bauru;Cabralia Paulista
3508405;Cabreأ؛va;ER Campinas;Cabreuva
3508504;Caأ§apava;ER Sao Jose dos Campos;Cacapava
3508603;Cachoeira Paulista;ER Sao Jose dos Campos;Cachoeira Paulista
3508702;Caconde;ER Campinas;Caconde
3508801;Cafelأ¢ndia;ER Bauru;Cafelandia
3508900;Caiabu;ER Presidente Prudente;Caiabu
