CODIGO_IBGE;MUNICIPIO;REGIONAL;PREFEITO;DIRETOR_REGIONAL;ATENDENTE(RAMAL);OBSERVACAO;LINK_IBGE
3500105;Adamantina;ER Presidente Prudente;Jose Carlos Martins Tiveron;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/adamantina/panorama
3500204;Adolfo;ER Sao Jose do Rio Preto;Ricardo Di Giorgio Robles;Igor Goncalves;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/adolfo/panorama
3500303;Aguai;ER Campinas;Gilberto Luiz Moraes Selber;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/aguai/panorama
3500402;Aguas da Prata;ER Campinas;Carlos Henrique Fortes Dezena;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/aguas-da-prata/panorama
3500501;Aguas de Lindoia;ER Campinas;Geraldo Mantovani Filho;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/aguas-de-lindoia/panorama
3500550;Aguas de Santa Barbara;ER Sorocaba;Wilian Jose De Oliveira Meana;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/aguas-de-santa-barbara/panorama
3500600;Aguas de Sao Pedro;ER Campinas;João Victor Barboza;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/aguas-de-sao-pedro/panorama
3500709;Agudos;ER Bauru;Rafael Lima Fernandes;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/agudos/panorama
3500758;Alambari;ER Sorocaba;João Paulo Dantas Pinto;Fabiano Doretto;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/alambari/panorama
3500808;Alfredo Marcondes;ER Presidente Prudente;Celso Pirani Passos;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/alfredo-marcondes/panorama
